Source Name	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [culture type]	Characteristics [environmental condition]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [strain]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [environmental condition]
GSM1331400 1	SRS560153	transitional growth conditions sample 7	RpoN_overexpressed_transitional growth	RpoN_overexpressed_sample2 [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331400 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331400	SRX474164	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173964	SRR1173964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1173964/SRR1173964.fastq.gz	GSM1331400_trans.7.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331399 1	SRS560151	transitional growth conditions sample 6	RpoS_wildtype_transitional growth	RpoS_wildtype_sample1 [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331399 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331399	SRX474163	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173963	SRR1173963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1173963/SRR1173963.fastq.gz	GSM1331399_trans.6.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331398 1	SRS560152	transitional growth conditions sample 5	RpoN_overexpressed_transitional growth	RpoN_overexpressed_sample1 [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331398 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331398	SRX474162	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173962	SRR1173962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1173962/SRR1173962.fastq.gz	GSM1331398_trans.5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331397 1	SRS560149	transitional growth conditions sample 4	RpoN_wildtype_transitional growth	RpoN_wildtype_sample1 [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331397 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331397	SRX474161	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173961	SRR1173961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1173961/SRR1173961.fastq.gz	GSM1331397_trans.4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331396 1	SRS560150	transitional growth conditions sample 3	RpoS_wildtype_transitional growth	RpoS_wildtype [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331396 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331396	SRX474160	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173960	SRR1173960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1173960/SRR1173960.fastq.gz	GSM1331396_trans.3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331395 1	SRS560148	transitional growth conditions sample 2	RpoS_empty_vector_transitional growth	RpoS_empty_vector_sample1 [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331395 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331395	SRX474159	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173959	SRR1173959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1173959/SRR1173959.fastq.gz	GSM1331395_trans.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331394 1	SRS560147	transitional growth conditions sample 1	RpoS_wildtype_transitional growth	RpoS_wildtype_sample2 [growth condition]	planktonic culture	transitional growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-17	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331394 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331394	SRX474158	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173958	SRR1173958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1173958/SRR1173958.fastq.gz	GSM1331394_trans.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	transitional growth
GSM1331393 1	SRS560146	stationary phase conditions sample 2	PA14_wt_stat	PA14_wt_stat_sample2 [growth condition]	planktonic culture	stationary phase	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-16	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331393 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331393	SRX474157	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173957	SRR1173957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1173957/SRR1173957.fastq.gz	GSM1331393_stat.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	stationary phase
GSM1331392 1	SRS560145	stationary phase conditions sample 1	PA14_wt_stat	PA14_wt_stat_sample1 [growth condition]	planktonic culture	stationary phase	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-16	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331392 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331392	SRX474156	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173956	SRR1173956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1173956/SRR1173956.fastq.gz	GSM1331392_stat.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	stationary phase
GSM1331391 1	SRS560144	low osmolarity conditions sample 4	SigX_wildtype_low osmolarity	SigX_wildtype_sample3 [growth condition]	planktonic culture	low osmolarity	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-15	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331391 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331391	SRX474155	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173955	SRR1173955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1173955/SRR1173955.fastq.gz	GSM1331391_osmo.4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	low osmolarity
